ID, Date      , Car Type    , Odometer (Km), Distance (Km), "City, Road", Spent Fuel  (L), Current Tank  (L), Fuel  Supplied  (L), Gas Station        , Total (R$) , Unit Value (R$/L), Consumtion     (Km/L), Tank Level         , Period (d), Photo Bill
  ,           ,             ,              ,              ,             ,                ,                  ,                    ,                    ,            ,                  ,                      ,                    ,           , 
  ,           ,             ,              ,              ,             ,                ,                  ,                    ,                    ,            ,                  ,                      ,                    ,           , 
  ,           ,             ,              ,              ,             ,                ,                  ,                    ,                    ,            ,                  ,                      ,                    ,           , 
  ,           ,             ,              ,              ,             ,                ,                  ,                    ,                    ,            ,                  ,                      ,                    ,           , 
  ,           ,             ,              ,              ,             ,                ,                  ,                    ,                    ,            ,                  ,                      ,                    ,           , 
  ,           ,             ,              ,              ,             ,                ,                  ,                    ,                    ,            ,                  ,                      ,                    ,           , 
 8, jul.-27   , Hyundai I-30,     62702    ,           156, City        , "20,45"        , 53               , "18,73"            , P V Rao 2          , "R$ 104,70", "R$ 5,59"        , "8,33"               ,                    ,         14, 
 9, ago.-6    , Hyundai I-30,        62.855,           153, City        , "18,37"        , "53,00"          , "20,00"            , P V Rao 2          , "R$ 113,80", "R$ 5,69"        , "7,65"               , Full Tank          ,         10, Combustível_Images/08-06-2024.Photo Bill.135619.jpg
10, ago.-17   , Hyundai I-30,        63.017,           162, City        , "21,18"        , "53,00"          , "25,92"            , Av Interlagos      , "R$ 147,48", "R$ 5,69"        , "6,25"               , Full Tank - refresh,         11, Combustível_Images/1063017.Photo Bill.192656.jpg
11, ago.-27   , Hyundai I-30,        63.180,           163, City        , "26,08"        , "53,00"          , "19,90"            , P V Rao 2          , "R$ 115,22", "R$ 5,79"        , "8,19"               , Full Tank - refresh,         10, Combustível_Images/1163180.Photo Bill.130806.jpg
12, set.-7    , Hyundai I-30,        63.406,           226, City        , "27,59"        , "53,00"          , "26,06"            , P V Rao 2          , "R$ 150,37", "R$ 5,77"        , "8,67"               , Full Tank - refresh,         11, Combustível_Images/1263406.Photo Bill.202626.jpg
13, set.-17   , Hyundai I-30,        63.582,           176, City        , "20,30"        , "53,00"          , "27,69"            , P Berrini 355      , "R$ 151,77", "R$ 5,48"        , "6,36"               , Full Tank - refresh,         10, Combustível_Images/1363582.Photo Bill.150529.jpg
14, set.-28   , Hyundai I-30,        63.777,           195, City        , "30,66"        , "53,00"          , "26,44"            , P V Rao            , "R$ 150,44", "R$ 5,69"        , "7,38"               , Full Tank - refresh,         11, Combustível_Images/1463777.Photo Bill.192605.jpg
15, out.-8    , Hyundai I-30,        63.939,           162, City        , "21,95"        , "53,00"          , "20,86"            , P V Rao 2          , "R$ 118,69", "R$ 5,69"        , "7,77"               , Full Tank - refresh,         10, Combustível_Images/1563939.Photo Bill.125009.jpg
16, out.-19   , Hyundai I-30,        64.129,           190, City        , "24,45"        , "53,00"          , "26,65"            , P V Rao 2          , "R$ 151,64", "R$ 5,69"        , "7,13"               , Full Tank - refresh,         11, Combustível_Images/1664129.Photo Bill.132600.jpg
